07/11/23 7:33:24: editor.scss - `assets/styles/admin/editor.scss` file not found for @import: editor.scss on line 13, at column 1
07/12/23 7:20:40: gutenberg.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:20:40: admin.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:20:40: editor.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:20:40: style.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:21:46: gutenberg.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:21:46: admin.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:21:46: editor.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:21:46: style.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:22:46: gutenberg.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:22:46: admin.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:22:46: editor.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
07/12/23 7:22:46: style.scss - parse error: failed at `.wp-block-image .is-style-rounded img,` /srv/users/zingmap/apps/greatcitymedical/public/wp-content/themes/great-city-medical/assets/styles/advanced/mixins.scss on line 175, at column 2
